,id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,backdrop_path,genre_names,year,profit
0,760161,Orphan: First Kill,Orphan: First Kill,en,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",There's always been something wrong with Esther.,2022-07-27,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg,5088.584,902,6.9,0,9572765,99,Released,/5GA3vV1aWWHTSDO5eno8V5zDo8r.jpg,Horror,2022,9572765
5,882598,Smile,Smile,en,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.","Once you see it, it’s too late.",2022-09-23,/hiaeZKzwsk4y4atFhmncO5KRxeT.jpg,1863.628,114,6.8,17000000,45000000,115,Released,/mVNPfpydornVe4H4UCIk7WevWjf.jpg,Horror,2022,28000000
8,756999,The Black Phone,The Black Phone,en,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",Never talk to strangers.,2022-06-22,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,1071.398,2736,7.9,18800000,161000000,103,Released,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,Horror,2022,142200000
13,717728,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",Evil Rides Again,2022-09-15,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,821.605,125,5.8,20000000,2892594,88,Released,/tIX6j3NzadlwGcJ52nuWdmtOQkg.jpg,Horror,2022,-17107406
16,762504,Nope,Nope,en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",What’s a bad miracle?,2022-07-20,/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,733.112,1684,7.0,68000000,170800000,130,Released,/xVbppM1xgbskOKgOuV8fbWBWHtt.jpg,Horror,2022,102800000
28,760104,X,X,en,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Dying to show you a good time.,2022-03-17,/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg,543.67,1035,6.8,10000000,14257609,106,Released,/21ldFAokKVjwzi1SHXoPb5gc7md.jpg,Horror,2022,4257609
31,836225,The Exorcism of God,The Exorcism of God,en,"An American priest working in Mexico is considered a saint by many local parishioners. However, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",God and the Devil cannot exist in the same body.,2022-03-11,/hangTmbxpSV4gpHG7MgSlCWSSFa.jpg,537.252,637,7.3,1500000,0,98,Released,/b1L7qevxiVpkVFq4dmdQPGFPWH0.jpg,Horror,2022,-1500000
32,801071,The Jack in the Box: Awakening,The Jack in the Box: Awakening,en,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",Once you open the box... you can't escape it.,2022-02-24,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,527.579,157,6.4,0,0,89,Released,/xHRabofjmMGoIV3mb6xgy4nwOcS.jpg,Horror,2022,0
36,758724,The Cellar,The Cellar,en,"When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",An ancient evil has awoken.,2022-03-25,/rtfGeS5WMXA6PtikIYUmYTSbVdg.jpg,513.757,257,6.6,0,0,94,Released,/qViFGWCHaSmW4gP00RGh3xjMjsP.jpg,Horror,2022,0
48,629015,Shut In,Shut In,en,A young single mother is held captive along with her two children by a violent ex and must plot their escape before it’s too late.,The will to live is found within.,2022-03-24,/b5ug4LyLQFeR6azAJyIPBQz5ur9.jpg,399.436,224,7.2,0,304106,90,Released,/ufagam4FwlIcgPqJlr21EshNkNd.jpg,Horror,2022,304106
56,871832,Visitante,Visitor,es,"Marga, who’s in the middle of a marital crisis with her husband Daniel, decides to spend a few days alone in her old, family home. Once there, she starts to sense some strange and terrifying phenomena happening around her: an invisible entity seems to know a lot about her, among other things, that she’s having an affair with Carlos, an old friend from college.  Marga has fallen pregnant by Carlos and on the day she’s going to have a secret abortion, the entity won’t let her leave the house. On the verge of madness, Marga discovers a portal in the house that leads to another reality. In this reality lives her other self and she’s actually trying to warn herself that something terrible is about to happen to her, unless she makes a decision…",Another reality. Other fears.,2021-02-11,/bDJFx39hKbvMlEXZMcVAc00YeaB.jpg,358.179,7,6.1,0,0,99,Released,/5wDyK62lGdgRh7rofKynqCbTuTA.jpg,Horror,2021,0
57,610253,Halloween Kills,Halloween Kills,en,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",Evil dies tonight.,2021-10-14,/qmJGd5IfURq8iPQ9KF3les47vFS.jpg,315.027,1941,6.7,20000000,131647155,105,Released,/5P0PtxIneLNMq7m0crF1R9Sjzpv.jpg,Horror,2021,111647155
59,864370,咒,Incantation,zh,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse.  WARNING: This is a cursed video, it might contain certain risks to watch. For those who dares to follow, please solve the puzzle of my daughter's curse with me.",Do you believe in blessings?,2022-03-18,/6zltP23zLGPogsHZUazSrrwNuKs.jpg,313.282,339,6.9,0,5700000,111,Released,/vqEX1uF3Spl12rOACQ3gJ6j4MSR.jpg,Horror,2022,5700000
61,632727,Texas Chainsaw Massacre,Texas Chainsaw Massacre,en,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",The face of madness returns.,2022-02-18,/e8vYPpkUJpf5Ils99kxF0Ev73ay.jpg,293.443,958,5.3,20000000,0,83,Released,/aTSA5zMWlVFTYBIZxTCMbLkfOtb.jpg,Horror,2022,-20000000
63,646385,Scream,Scream,en,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",It's always someone you know.,2022-01-12,/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,291.196,1732,6.7,24000000,140000000,114,Released,/ifUfE79O1raUwbaQRIB7XnFz5ZC.jpg,Horror,2022,116000000
86,833425,No Exit,No Exit,en,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",Who will survive the dead of winter?,2022-02-25,/5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,252.675,750,7.0,0,0,96,Released,/2il2HT8v6NAN7oinOCuHKpEhgnB.jpg,Horror,2022,0
89,816977,They/Them,They/Them,en,Campers at an LGBTQ+ conversion camp endure unsettling psychological techniques while the campsite is stalked by a mysterious killer.,Fear doesn't discriminate.,2022-07-24,/85TJ4udfUOwFIlvQL6EMFvvbvN5.jpg,249.32,105,5.3,0,0,101,Released,/5spmzlcl3GmtMwQfptTVgMwdM3.jpg,Horror,2022,0
91,803114,The Requin,The Requin,en,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",Terror will surface.,2022-01-28,/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,248.496,191,4.7,0,0,89,Released,/eVSa4TpyXbOdk9fXSD6OcORJGtv.jpg,Horror,2022,0
93,55341,Jeepers Creepers 3,Jeepers Creepers 3,en,"Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",Third Time's the Charm,2017-09-26,/pK7ge28ubs45av9aGEbVWW7ZbA8.jpg,246.189,692,4.9,6200000,3600000,100,Released,/l49X7KxytkRCdXrpAu92QqxVrN5.jpg,Horror,2017,-2600000
96,423108,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,en,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",The demonic case that shocked America.,2021-05-25,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,246.13,4689,7.6,39000000,201000000,111,Released,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,Horror,2021,162000000
121,869399,La pasajera,The Passenger,es,"Four people traveling in a van run over a lone woman while she is walking in the dark down a country road. After loading her into the vehicle to take her to the nearest hospital, they notice that she is behaving rather strangely. The occupants of the van soon realise that the time has come to fight for their lives, and together they agree on one very simple rule: ""do not sit next to her.""",Don't sit next to her,2022-06-03,/6bYCDIYqT3GpE6ICnMP6HvUlJMT.jpg,220.766,25,6.4,0,0,90,Released,/9hhRzLzP1enjENXiGJocAHyWFmS.jpg,Horror,2022,0
127,632357,The Unholy,The Unholy,en,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",Be careful who you pray to.,2021-03-31,/bShgiEQoPnWdw4LBrYT5u18JF34.jpg,207.113,1737,6.7,10000000,30833138,99,Released,/jw6ASGRT2gi8EjCImpGtbiJ9NQ9.jpg,Horror,2021,20833138
132,893370,Virus :32,Virus:32,es,A virus is unleashed and a chilling massacre runs through the streets of Montevideo.,32 seconds to live or die.,2022-04-21,/qDNZWDJGU2LTPpPpVGPQMxKv8xl.jpg,198.632,155,7.2,0,0,90,Released,/i0zbSmiyyylh7H3Qb4jgscz46Pm.jpg,Horror,2022,0
136,482373,Don't Breathe 2,Don't Breathe 2,en,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",Bad things happen to bad people.,2021-08-12,/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg,196.003,1847,7.3,10000000,45000000,98,Released,/zHeJ1H3PiOFxmWgEBsp2jA3qetK.jpg,Horror,2021,35000000
145,820511,Ripper Untold,Ripper Untold,en,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,No one is safe.,2021-06-28,/eJ0q6GIac00TvanshEDREQ79mpz.jpg,187.478,107,6.2,0,0,85,Released,/bNnNlUjf16ahEw0uv39NUeQ35YR.jpg,Horror,2021,0
148,138843,The Conjuring,The Conjuring,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",Based on the true case files of the Warrens,2013-07-18,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,173.527,9735,7.5,13000000,319494638,112,Released,/aQCCpAIdWAp6wyFgjMry4okwrZo.jpg,Horror,2013,306494638
151,830788,The Invitation,The Invitation,en,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",You are cordially invited to a nightmare generations in the making.,2022-08-24,/jcTq6gIskCsHlKDvCKKouEfiU66.jpg,168.001,176,6.3,10000000,30000000,105,Released,/yo0qfH2dQGGMxkfivdkz5zxVatD.jpg,Horror,2022,20000000
156,829358,Queen of Spades,Queen of Spades,en,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",She will reign.,2021-06-11,/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg,164.687,66,6.6,0,0,91,Released,/5UANdP8xXHyVOGknfJlzQ7muLj3.jpg,Horror,2021,0
159,870671,The Hunting,The Hunting,en,"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",Hunger runs deep.,2022-01-21,/kvhrltQIRp1u84ao9uj52YPaWNY.jpg,163.448,28,4.9,0,0,91,Released,/q2KFBGyUSzHDhNqXEYv2LqTWVSz.jpg,Horror,2022,0
162,424139,Halloween,Halloween,en,"Jamie Lee Curtis returns to her iconic role as Laurie Strode, who comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Face Your Fate.,2018-10-18,/f7JAX5EGk4GgsEnus6OxyzwpFp7.jpg,158.374,3974,6.5,10000000,253688035,106,Released,/crn09DUYgmFUPbOroxt1tQSoi0r.jpg,Horror,2018,243688035
164,520763,A Quiet Place Part II,A Quiet Place Part II,en,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Silence is not enough.,2021-05-21,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,153.956,4721,7.6,61000000,297372261,97,Released,/rBWF1zHdU2abEfmhAoLMr3PUJC5.jpg,Horror,2021,236372261
167,609972,Paranormal Activity: Next of Kin,Paranormal Activity: Next of Kin,en,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",The activity is reborn.,2021-10-29,/bXAVveHiLotZbWdg3PKGhAzxYKP.jpg,149.767,426,6.4,0,0,98,Released,/39EQTf94Lckdo8yzS1CdWQSgmen.jpg,Horror,2021,0
170,631843,Old,Old,en,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,It's only a matter of time.,2021-07-21,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg,148.823,3080,6.5,18000000,90112510,108,Released,/iTgM25ftE7YtFgZwUZupVp8A61S.jpg,Horror,2021,72112510
187,159211,The Haunting of Helena,The Haunting of Helena,en,"After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",She's coming for her.,2013-01-14,/iB8rf8FYHGlrbmLybCo6Mpg8hNt.jpg,142.934,129,5.5,0,0,87,Released,/uEWCi9fc89m9qS5SNshlvxkSsLJ.jpg,Horror,2013,0
202,259693,The Conjuring 2,The Conjuring 2,en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,The next true story from the case files of Ed and Lorraine Warren.,2016-06-08,/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,137.18,7061,7.3,40000000,320392818,134,Released,/4mfFtlGeInPrQVm1hpv7th02yjx.jpg,Horror,2016,280392818
209,439079,The Nun,The Nun,en,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",Pray For Forgiveness,2018-09-05,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,131.032,5393,5.8,22000000,365550119,96,Released,/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,Horror,2018,343550119
218,71672,Wrong Turn 4: Bloody Beginnings,Wrong Turn 4: Bloody Beginnings,en,"A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them.",Frost Is Not The Only Thing That Bites In the Snow!,2011-10-17,/r1JNXwJkKO696NlGTyqkw96yoT9.jpg,125.455,857,5.7,3000000,0,93,Released,/8rLQnFUh8R3glHBRuZ2j0dXJX9o.jpg,Horror,2011,-3000000
231,630586,Wrong Turn,Wrong Turn,en,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",This land is their land.,2021-01-26,/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg,119.017,804,6.0,0,3777969,110,Released,/6XVqVAMOsKL5C26pHesiAawuGYW.jpg,Horror,2021,3777969
233,360784,Hidden,Hidden,en,A family takes refuge in a fallout shelter to avoid a dangerous outbreak.,Fear will find you.,2015-09-15,/oiNc4aTeaUMVNkxL0UWnezmKJgM.jpg,117.32,712,6.8,0,0,83,Released,/6yIdUIeAXfqUzH93CGDWHsj44AG.jpg,Horror,2015,0
238,393345,Cult of Chucky,Cult of Chucky,en,"Confined to an asylum for the criminally insane, Nica Pierce is convinced that she, not Chucky, murdered her entire family. But when the psychiatrist introduces a new therapeutic ""Good Guy"" doll with a familiar face, a string of new, grisly deaths leads Nica to wonder if she isn't crazy after all.",You may feel a little prick,2017-10-23,/r5JUiMYfatwYeDkxkLWYUx5GIjY.jpg,116.318,959,5.8,6500000,2200000,91,Released,/2sHD7FUlgyy1TBAxPtzLF4yDb2D.jpg,Horror,2017,-4300000
245,672582,The Deep House,The Deep House,en,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",Breathe while you still can.,2021-06-30,/5xhAPxRr64oQPEFnUOrttuI4ZEU.jpg,115.268,717,6.3,0,0,81,Released,/yL9RRZbDVbptqLwiZcK304ck4PL.jpg,Horror,2021,0
246,125509,Wrong Turn 5: Bloodlines,Wrong Turn 5: Bloodlines,en,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",The inbred hillbillies are back!,2012-10-23,/i9prGtsGbWzaH30bp8TXPEs6QGm.jpg,112.707,750,5.4,3000000,0,91,Released,/1dFKtwFarEj47JRJHe9dPpMLyQF.jpg,Horror,2012,-3000000
261,663712,Terrifier 2,Terrifier 2,en,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Who's laughing now?,2022-10-06,/wRKHUqYGrp3PO91mZVQ18xlwYzW.jpg,109.994,1,8.0,0,0,138,Released,/y5Z0WesTjvn59jP6yo459eUsbli.jpg,Horror,2022,0
274,280002,The Remaining,The Remaining,en,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.","After the rapture, there are fates worse than death.",2014-08-25,/sjw5d110lXV4tWgqKG1hGOphchT.jpg,106.016,285,5.7,0,1169603,88,Released,/bLI7uIY9Y1vDkx1Bt6Crn2NJELL.jpg,Horror,2014,1169603
293,913290,Barbarian,Barbarian,en,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the other guest.",Some stay for a night. Some stay for a week. Some never leave.,2022-09-08,/d0Lhdp9AX70vdvVfhnSraaWw06R.jpg,102.826,61,7.2,10500000,30000000,103,Released,/3tmpWdxKgc2BvOkqBaGCWloNqh5.jpg,Horror,2022,19500000
301,723072,Host,Host,en,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.",Someone new has joined the meeting.,2020-12-04,/h7dZpJDORYs5c56dydbrLFkEXpE.jpg,101.167,599,6.5,0,26745,57,Released,/buop8brXQ8gGiOPrVTxZZUqE8Oa.jpg,Horror,2020,26745
345,480414,The Curse of La Llorona,The Curse of La Llorona,en,A social worker dealing with the disappearance of two children fears for her own family after beginning the investigation.,She Wants Your Children.,2019-04-17,/jhZlXSnFUpNiLAek9EkPrtLEWQI.jpg,90.991,1998,5.7,9000000,122033739,93,Released,/9p5BuzUNcvCltQAIiDLILEsH0dk.jpg,Horror,2019,113033739
359,338947,Hellraiser,Hellraiser,en,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension.",Unlock your fears.,2022-09-28,/u4ikorO4E3PouLRRwGaRuhFvsl3.jpg,89.225,22,5.8,14000000,0,121,Released,/3r3tZgKTw1554hcFoUfydLHE38w.jpg,Horror,2022,-14000000
364,521029,Annabelle Comes Home,Annabelle Comes Home,en,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",Possess them all,2019-06-26,/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,88.826,2870,6.4,30000000,231252591,106,Released,/dBt0DoFfbhOI4ypUfRj1uTq623M.jpg,Horror,2019,201252591
367,619778,Malignant,Malignant,en,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",A new vision of terror.,2021-09-01,/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg,88.071,1647,6.9,40000000,24640084,111,Released,/eG58uvQKZFAFxAFYC01HWMibRfa.jpg,Horror,2021,-15359916
370,776797,哭悲,The Sadness,zh,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable.",It feels...wonderful...,2021-01-22,/d8Ip6MmPxeMAtNJtusbPaGCEsvh.jpg,87.317,366,6.7,0,0,99,Released,/klioTuA8JepFgV0EC7IxqV6VbrM.jpg,Horror,2021,0
372,676547,Prey for the Devil,Prey for the Devil,en,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",It wants in.,2022-10-26,/jXwYESgxqkXlYvoTyUTO2hqKK7T.jpg,86.758,0,0.0,0,0,93,Post Production,/7IwLNl9MJbj47pObu8xMDUbIesv.jpg,Horror,2022,0
376,381288,Split,Split,en,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",Kevin has 23 distinct personalities. The 24th is about to be unleashed.,2016-11-15,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,85.707,15360,7.3,9000000,278454358,117,Released,/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg,Horror,2016,269454358
382,493922,Hereditary,Hereditary,en,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",Every family tree hides a secret.,2018-06-07,/lHV8HHlhwNup2VbpiACtlKzaGIQ.jpg,84.709,6057,7.3,10000000,80239658,128,Released,/4DUoPZOHdPuROP4nyEIsPaMIiQl.jpg,Horror,2018,70239658
386,167032,Curse of Chucky,Curse of Chucky,en,"After the passing of her mother, Nica Pierce, a young woman in a wheelchair, is forced to deal with her sister, brother-in-law, niece and their nanny as they say their goodbyes to mother. But when people start turning up dead, Nica discovers the culprit might be a strange doll she received a few days earlier.",Fear has a new home.,2013-10-04,/x9DzkDWp8O82Wzxk6otuD9bce9a.jpg,82.858,1280,5.9,5000000,3800000,97,Released,/h9pt74NuKn0z5L3RPv3VbCzxGcS.jpg,Horror,2013,-1200000
388,533642,Child's Play,Child's Play,en,"Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",More than a toy... he's your best friend.,2019-06-19,/rpS7ROczWulqfaXG2klYapULXKm.jpg,82.168,1608,6.0,10000000,44902237,90,Released,/vHse4QK31Vc3X7BKKU5GOQhYxv6.jpg,Horror,2019,34902237
393,158015,The Purge,The Purge,en,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.","One night a year, all crime is legal.",2013-05-31,/x6hwbnR2nGacSzljqYaXY25w1Me.jpg,81.585,7386,6.3,3000000,89328627,86,Released,/9J3HHP3kQ5ZStyirJyWPWtvvrHY.jpg,Horror,2013,86328627
396,396422,Annabelle: Creation,Annabelle: Creation,en,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",You don't know the real story,2017-08-03,/snYI6TDLkB8wL7SHFyBV6qkJuPx.jpg,81.021,4859,6.6,15000000,306515884,110,Released,/o8u0NyEigCEaZHBdCYTRfXR8U4i.jpg,Horror,2017,291515884
399,754934,Son,Son,en,"When a young boy contracts a mysterious illness, his mother must decide how far she will go to protect him from terrifying forces in her past.",You can't outrun a family secret.,2021-03-18,/4fl6EdtMp6p0RKJgESdFti1J3dC.jpg,80.972,206,6.0,0,0,98,Released,/ele7aCoLBYKagh3LSS6qGTGdyCi.jpg,Horror,2021,0
401,786300,Tentacles,Tentacles,en,"A young Los Angeles couple Tara and Sam fall head over heels into a new romance, entwining their lives—until their intimacy transforms into something terrifying.",How well do you know the one you love?,2021-02-12,/rRfcH0jg9X8czKJhXCnny45NSWt.jpg,78.121,90,6.2,0,0,84,Released,/iID0at69rWzZOIarUIFrfDOFJA.jpg,Horror,2021,0
406,636879,A Nun's Curse,A Nun's Curse,en,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,She will PREY for you!,2020-05-12,/eutNRwSguV0NCx7BNAXOibWzjP6.jpg,77.424,93,6.2,0,0,73,Released,/edXuLjxjYu1SkyMHd55hRasME8b.jpg,Horror,2020,0
415,751237,Umma,Umma,en,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",A mother’s love never dies.,2022-03-18,/moLnqJmZ00i2opS0bzCVcaGC0iI.jpg,74.957,162,5.6,0,2118582,83,Released,/8DHvtmF15wGwkMOW3nqZmpEzEaq.jpg,Horror,2022,2118582
