,id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,backdrop_path,genre_names,year,profit
14665,739291,Al morir la matinée,The Last Matinee,es,"On a stormy night in Montevideo, an engineering student named Ana takes over the duties of her father, a projectionist at a declining movie theatre, due to his ill health. But, unbeknownst to her, the audience watching the film that she’s running starts being murdered by a crazed killer.",No talking. No texting. No breathing.,2020-09-03,/m5nAZWmWiBc620Mg3rrOTalD3hA.jpg,3.208,60,5.9,0,0,88,Released,/rF48fxpMtvkUV2HDzu2WDusbJ86.jpg,Horror,2020,0
14666,84565,1313: Cougar Cult,1313: Cougar Cult,en,"Rufus, Darwin, and Coopersmith are three nerdy, but hunky young college students who score themselves a dream summer job working at a swanky mansion owned by wealthy and sexy middle-aged babes Clara, Victoria, and Edwina. However, the gals turn out to be a coven of deadly witches who transform into flesh-eating cougars who need fresh young man meat in order to live forever.",Cougars eat their Cubs!,2012-02-01,/7WGroF5W5mtYYZZ4yZLIft5xtP5.jpg,3.207,10,4.1,1000000,0,73,Released,/4L1I4YQrWW0etjKlOb3NOjlwEzC.jpg,Horror,2012,-1000000
14683,298835,After School Massacre,After School Massacre,en,"High school history teacher, Ty Anderson, has a minor online communication with a teasing student which finds him immediately fired and snaps him into a psychotic killing spree, terrorizing his former female students at their slumber party.",They Didn't Make The Grade,2014-01-10,/ywyHXnFVC8neWKWqtPa7SQLW6Rq.jpg,3.204,7,4.9,0,0,73,Released,/eT8PdgNdteo6XKOXTaBtfMGgoXP.jpg,Horror,2014,0
14715,809929,Aquarium of the Dead,Aquarium of the Dead,en,A scientific mishap causes the species of an aquarium to become zombies.,We've fallen to the bottom of the food chain,2021-05-21,/6EukULuv5FVCTGpGfC6LZBV4dsc.jpg,3.194,42,6.2,0,0,86,Released,/kdYIHkyLPAnlU7jl6PlqKspdpgy.jpg,Horror,2021,0
14733,338520,Apparition,Apparition,en,"When his beautiful fiancée, Lori, is killed in a car accident, Doug retreats in solitude to the isolated farmhouse that should have been his new family's home. As he grieves and further isolates himself from his friends and society, he learns that he is not alone in this quaint home...",Regret will haunt you.,2015-06-14,/yfmUmazkbQKZSYJYQfdWl6RKFOe.jpg,3.188,16,3.7,3000000,0,100,Released,/41VXZsq92l1lAKvy7X6FjRN387S.jpg,Horror,2015,-3000000
14771,618620,Wicked Witches,Wicked Witches,en,"After being thrown out of his home by his wife for being promiscuous, Mark finds himself back at Dumpling Farm, a place of youthful memories and parties, but things aren't quite right. His old buddy Ian, who has never left the place, is possessed by a group of demonic, flesh-eating Witches. Using Ian and his farm, these beautiful Witches honey trap Mark and his friends to consume their souls.",A Harvest for the Devil,2019-08-09,/hFC0vgbiRD88sLeH346kpMRusHs.jpg,3.18,8,4.4,0,0,89,Released,/qaFNKKP2G5Ks6ygSu8aGFocPR9W.jpg,Horror,2019,0
14783,845554,Crow Valley,Crow Valley,en,Mountain biker Benny Jones sets off on a weekend ride to remote Crow Valley but is knocked off his bike in a brutal hit and run. He wakes badly injured in an abandoned cabin where he meets young hiker Greta. When her lies and sanity start to unravel he finds himself in a desperate fight for survival.,Out here you can get away with murder.,2022-03-01,/vL2BC3NE7U76ktoHRKAmA7meRoz.jpg,3.177,4,3.5,0,0,81,Released,/lKKmQQkXY1A2Om35zrKyckjNj06.jpg,Horror,2022,0
14788,412471,Dark Silence,Dark Silence,en,"Craig moves with his daughter, Jennifer, into a new home after the death of his wife. It’s not long before the pair discover the house is haunted by a dark presence that wants to take over the child. One day Jennifer disappears and Craig must face a terrible truth in order to find his daughter.",Kneel down to his will,2016-10-14,/pBP8eWb66SGbWtDMAMYghrqrJId.jpg,3.174,22,3.7,250000,0,90,Released,/65CM3V6pZUCRgYDAVm1TWobrJ7T.jpg,Horror,2016,-250000
14804,661269,Snow Monster,Snow Monster,zh,"With the rapid development of science and technology in the future, a Gene Research Company sent Shen Yiqin and others into the mysterious snowy area on the edge of the Arctic. Unexpectedly, they were attacked by unknown giant creatures.",Even monsters fall for beauties.,2019-09-11,/4SWJTaBEmaK9rPegeVyjIQeyu3N.jpg,3.17,3,4.0,0,0,83,Released,/veZmYcYo5chIEsOthoyiJf2kZxI.jpg,Horror,2019,0
14853,345950,Dracula Reborn,Dracula Reborn,en,"Horror about three journalists who travel from Vancouver to Transylvania to uncover the true story of Dracula. As they visit the area's historical sites and libraries to decipher the various clues behind the famed vampire's existence, the trio's determination to get their article may end up costing them their lives.",Every bloodline has an end.,2015-05-18,/8qYoHVNhyLVqzNritUESG2QkvjC.jpg,3.153,11,3.1,0,0,102,Released,/VdZd1QBr4dT3bw7zidj2a88xEU.jpg,Horror,2015,0
14862,127498,राज़ 3,Raaz 3,hi,"When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",When Desires Turn Evil,2012-09-07,/nOsWrm2IbH9mwIRBvhH7mFjmS5q.jpg,3.15,26,5.4,3600000,14000000,139,Released,/auQwNrtTT4fdz32dcqGUffpoFN5.jpg,Horror,2012,10400000
14875,117120,The Facility,The Facility,en,A group of volunteers find themselves fighting for their lives when a drug trial goes horribly wrong.,One new drug. Seven volunteers. Seventeen hours of hell.,2012-06-23,/bEFXupCLBq5XzrOACV4ROE5rbDF.jpg,3.146,33,5.4,0,0,85,Released,/f3eYBU1uTleNzotKdhyKb3AksWk.jpg,Horror,2012,0
14885,503025,Captured,Captured,en,A weekend getaway to shoot a music video turns into a nightmare for a rock'n roll band when they become the crazed obsession of an escaped convict that is purposely targeting the female lead of the band.,"SEX, DEATH & ROCK N ROLL",2020-01-01,/9ueo7AcxBn3TRhaoqOrrxcVb4pO.jpg,3.143,3,8.0,0,0,80,Released,/eWsiu4dzKLj0KGNzhQNtDG9L0bx.jpg,Horror,2020,0
14891,362430,Night of the Wild,Night of the Wild,en,"A large meteor crashes into a quiet town, and pet dogs become mysteriously aggressive. attacking and killing the residents. Teenager Roslyn (Mays) and her old but faithful dog Shep are out camping when the attacks hit. Now separated by the chaos in town and blocked roads, Roslyn and the other members of her family must find each other by fighting back against the blood-thirsty hounds before the dogs take over the whole town and escape becomes impossible.",Pray for Day,2015-10-03,/vxGuyXXlEyhQsDgHz1woGVrhnDs.jpg,3.141,27,3.7,0,0,86,Released,/y74gm0wss2dfk24BY1Uu4ftPdx4.jpg,Horror,2015,0
14893,749727,Shepherd,Shepherd,en,"When a deadly secret rots the mind of a grieving widower, the decision to work alone on a deserted island morphs into a terrifying race to save his sanity and his life.",Red sky in mourning.,2021-11-26,/nZ96VyEjhG6KJ97tN24PjVfdk33.jpg,3.141,20,5.5,0,0,103,Released,/r4HFuuth5EkvNJNoCTKRPCRjjMv.jpg,Horror,2021,0
14945,618331,Dark Whispers - Volume 1,Dark Whispers - Volume 1,en,"When Clara discovers her deceased mother’s revered ‘Book of Dark Whispers’, she can’t stop reading the strange stories within its mystical pages. Each weird tale reveals a new facet of the twisted human psyche… or the not-so-human, as the case may be. From the horror of grief to sharehouse living disaster, from existential dread to right-swiping vampires, there’s something for all tastes; as long as those tastes are twisted!",Some Voices You Can't Ignore,2019-08-30,/wEhGEuySM10M1sWfJ5NycuMGMNi.jpg,3.128,3,5.0,0,0,104,Released,/kdyd5A80lahzJPhnldcNl544sfS.jpg,Horror,2019,0
14953,312980,Paranormal Island,Paranormal Island,en,"When 3 college kids take a summer job its a chance of a lifetime to bartend at a bar in the middle of a lake! The bar has been around for over a hundred years and is presumed by many locals to be haunted, after the owner killed himself many years before. Unfortunately they miss the last boat off the island and are stuck trying to find a way off. As darkness falls, they quickly realize things are very different after hours as they are hunted by the paranormal caretaker.",Nothing Good Happens After Closing,2014-12-10,/pjlOUDvJ31nfigmTpp7MDRdExVn.jpg,3.125,12,4.0,2000000,0,82,Released,/g8P8ttY0pmCpdQdfJZPB4Thq3xD.jpg,Horror,2014,-2000000
14980,467405,Don't Sleep,Don't Sleep,en,"After moving into a cottage together, two young lovers confront horrors of a forgotten childhood.",Some dreams should never be remembered,2017-09-29,/jP0fjDDZaYGpuwD9as6tNn0ePPz.jpg,3.117,26,4.1,0,0,101,Released,/fBHfuMIp43iKo2mH1AbenNS9jIT.jpg,Horror,2017,0
14984,566556,The Cabin,The Cabin,en,"When a couple visit a remote cabin and cross paths with a compulsive liar, their vacation takes a dramatic turn for the worse.",Fear has found a home,2018-12-04,/zjKRXzoWpXkSQaGUBCjzHt0Hn4N.jpg,3.117,23,3.9,0,0,86,Released,/c3FvvRS9m3OOfXljjUqvpPpYsci.jpg,Horror,2018,0
14986,801320,Shriekshow,Shriekshow,en,Four friends travel to a supposedly haunted abandoned circus on Halloween to party and encounter a ringmaster setting up a sideshow exhibit who proceeds to tell them three terrifying tales.,Welcome to the scariest show on Earth!,2022-02-27,/p26DdLij3iwqTKbGCBqVobiMMqh.jpg,3.117,3,5.0,0,0,105,Released,/6o2Rp2FOarSR609zCRmY5chnd8D.jpg,Horror,2022,0
14988,706862,Annabellum - The Curse of Salem,Annabellum - The Curse of Salem,en,In the form of an old doll a vengeful witches curse from 1692 Salem is released upon a family trapped in a historic English mansion.,Don't let her out,2019-08-12,/9cMiaJOtIorpr0IiQPyTlb9tYVk.jpg,3.115,7,3.8,0,0,73,Released,/sfJHgrkhjUcEyqU5evsmsk0lDII.jpg,Horror,2019,0
14994,404413,Tear Me Apart,Tear Me Apart,en,"In the wastelands of post-apocalyptic England, two young brothers turn to cannibalism to survive, only to fall for their prey, a teenage girl... and possibly the last female left alive.",Love. Kill. Eat.,2016-07-01,/6zisawcYtB5sPlXm8ClOjDe7Mbb.jpg,3.112,6,4.7,0,0,86,Released,/5lvcLLZFU1Um2k0JE2S6Yw6g6BU.jpg,Horror,2016,0
